,reviews
24,"I found this play interesting when I understood what was meant by the title: not unlike counterparts in Shakespeare's plays, Sakuntala needs the recognition of her husband to be seen as legitimate and to take her place by his side.It's a wonderful story with insight into how if one is not seen, one can be invisible or illegitimate. In this case a curse prevents Sakuntalas beloved from granting her proper recognition. This is resolved eventually. How the King treats her after making love to her i
I found this play interesting when I understood what was meant by the title: not unlike counterparts in Shakespeare's plays, Sakuntala needs the recognition of her husband to be seen as legitimate and to take her place by his side.It's a wonderful story with insight into how if one is not seen, one can be invisible or illegitimate. In this case a curse prevents Sakuntalas beloved from granting her proper recognition. This is resolved eventually. How the King treats her after making love to her is directly related to her family's view as well as societys view. This is considered a classic of world literature so I'm glad to have finally read it.
...more"
25,"I was in a trance, and continue to revel in it. I listened with my eyes closed, and had bright and clear visuals. The poems, the music, and the imagination that it fuelled transported me to times so distant in the past.The story was simple, yet the imagery, powerful and unforgettable. It was pure, even while set in a patriarchal society that many of us would have qualms with; as it beautifully reminisces a feeling of anxiety and helpless hope in love.I sincerely recommend the audiobook to as it 
I was in a trance, and continue to revel in it. I listened with my eyes closed, and had bright and clear visuals. The poems, the music, and the imagination that it fuelled transported me to times so distant in the past.The story was simple, yet the imagery, powerful and unforgettable. It was pure, even while set in a patriarchal society that many of us would have qualms with; as it beautifully reminisces a feeling of anxiety and helpless hope in love.I sincerely recommend the audiobook to as it undoubtedly is a fantastic treat to one's senses.
...more"
26,"A charming little play, with some great roles. A few iffy bits though, where the 'secret marriage' implies her being knocked up, but that's all 1000+ year old cultural nuances I don't know about. By far the best part are the endless streams of poetry, almost all concerning love, and several passages which are truly, truly beautiful.Well worth a read, and apparently Goethe ripped off the beginning for Faust.
A charming little play, with some great roles. A few iffy bits though, where the 'secret marriage' implies her being knocked up, but that's all 1000+ year old cultural nuances I don't know about. By far the best part are the endless streams of poetry, almost all concerning love, and several passages which are truly, truly beautiful.Well worth a read, and apparently Goethe ripped off the beginning for Faust.
...more"
27,"Read for my World Drama class. I really enjoyed this! It is full of romance, drama, beautiful writing and a compelling story overall. The foot notes located at the back of the book really helped contextualize some of the translations, as I am unfamiliar with Hindu ideology. However, this play has definitely increased my interest in learning more about Hindu mythology. I am really happy I got to read this!"
28,"Though classist and sexist, this erotic play greatly extends a scene in the excellent Mahabharata. While the story is quite simple, the use of language is quite fascinating. I would love to see this performed in person -- it would do greatly to enhance the intended mood -- rather than simply read it."
29,I seldom read drama for I get impatient in completing them but this turned out to be an amazing read. The best part was knowing the issues of ancient Indian society. Not only does the drama reflect upon the Indian society but also it is extremely poetical and musical that makes it even more interesting.
30,"This is a great classic, but at the same time a very modern tale of a rather naive woman conned and abandonned whilst pregnant -how she battles through and never gives up. I enjoyed it a great deal even if the happy ending is a bit incredible. Do not be put off by the fact that it was written so long ago. It has retained its freshness and beauty."
31,"”Having passed by a river full of water,I’m longing now for an empty mirage.”
Beautiful prose for the more whimsical and poetic sections wherein the connection between human beings and nature was developed. Love at first sight, king of a palace and sage’s daughter of a hermitage, a curse, the following misunderstandings, and a happy ending!"
32,"The language painted some delightful scenes in the garden. The quick love and seduction between the two main character seems a little weird, but they are both meant to be virtuous and represent something more than just two people. It is an interesting arc."
33,"Creation , presentation , story, duologue , characters etc is mind blowing.If you put this story in love diagram I think it's not only worth , this story present Indian vadic culture , traditions, attiqates , civilised behaviour ancient Indian society.
Creation , presentation , story, duologue , characters etc is mind blowing.If you put this story in love diagram I think it's not only worth , this story present Indian vadic culture , traditions, attiqates , civilised behaviour ancient Indian society.
...more"
34,"I think that watching the play would've captured my attention better than book format. I liked several of the supporting characters and it is interesting to learn about something that dates so far back. 
I think that watching the play would've captured my attention better than book format. I liked several of the supporting characters and it is interesting to learn about something that dates so far back. 
...more"
35,"1 star. once again, was forced to read this for school. not my cup of tea, but interesting to read something that is so influential to others. overall, i think the story could’ve been told in 50 pages or less."
36,"A classic of Sanskrit Literature by its 'Homer', so to say.
A classic of Sanskrit Literature by its 'Homer', so to say.
...more"
37,interpretation of characters is phenomenal.
38,Epic Master piece!
39,"Don Juan feels. The power of the patriarch. Landscapes that vary. Where do we draw the line? (Favorite part's the bee scene.)
Don Juan feels. The power of the patriarch. Landscapes that vary. Where do we draw the line? (Favorite part's the bee scene.)
...more"
40,Masterpiece by Kalidas
41,"If our favourite character has a similar quality of Our Own(Gardening), There is no more pleasure than that.This Book Is My First Mythology. And It Proved The Power Of Fate."
42,"It's a story that I had heard of during childhood.Read the English translation.
It's a story that I had heard of during childhood.Read the English translation.
...more"
43,Men be forgetful
44,4.5 stars
45,Make entitlement through and through. Quick read that was disappointing in all the ways.
46,Book is good and simple translation of sanskrit version. If some pictures are included in book it will help to visualize further.
47,"The Recognition of Shakuntala by KalidasaThere is a list of books that we should try to read, because they are supposed to be the best ever written. You can find the list on my blog somewhere, but easier to find would be the Guardian site.I am not sure though that it is the Guardian who actually compiled it, for I think I have read somewhere that it was first put together in Scandinavia, with critics, writers and scholars. One name I remember is Umberto Ecco, who supposedly took part in the sele
The Recognition of Shakuntala by KalidasaThere is a list of books that we should try to read, because they are supposed to be the best ever written. You can find the list on my blog somewhere, but easier to find would be the Guardian site.I am not sure though that it is the Guardian who actually compiled it, for I think I have read somewhere that it was first put together in Scandinavia, with critics, writers and scholars. One name I remember is Umberto Ecco, who supposedly took part in the selection process.The list is definitely interesting, even if it feels that efforts have been made to go around the globe in an effort to be as impartial as possible. Another explanation might be that those consulted in various parts of the world emphasized their own productions.No matter what the politics were, Shakuntala is on that list and therefore it got my attention.It’s not bad and I have to be careful with the label, because I only had the chance to listen to a theatrical, adapted version of the Indian original.The atmosphere of the play is interesting, with some specific “sounds and music”. The actors seem to speak like in Slumdog Millionaire (a film that I hated, although I had loved the director’s Trainspotting and Shallow Grave).The “action” seems to be somewhat usual; nothing extraordinary seems to happen up to a point. There is a prince who falls for a young maiden, gives her a marvelous ring for a gift and his heart.About the heart we begin to have doubts and refer to the title, when The Recognition of Shakuntala...well, fails to happen:The family is gathered at the palace to give as a bride, the daughter who had been promised the moon and the sky, by a ruler who seems to have second thoughts.The mighty prince says he does not recognize the bride to be.What I found likeable and interesting was the fact that the mother is not insulting the majestic ruler, but is not overwhelmed either, keeps her pride throughout.But when it comes to showing proof, the ring is no longer on the finger.An adviser recommends a kind of a stalemate, with time and a special event showing later if the young woman is the bride destined for such a noble prince.Things turn a bit nasty, but to make you enjoy the tale I will stop somewhere in the middle of the plot.I am not sure about the unabridged version, but the play I listen to more than satisfies any interest I could have in Shakuntala. Even if seriously enticed by the Eastern culture and in particular Buddhism, I also have a kind of weariness, a suspicion of India. When I heard someone I know that she wants to go to India, I was shocked and remembered the Seinfeld episodes where they travel to India and the idea is to delay using the bathroom until…they reach home again.I rest easy and assured that I will never have the pleasure and maybe the inconvenience of visiting that subcontinent, for better or worse.www.realini.blogspot.ro 
...more"
48,"""Sharngarava. Thus does unbridled levity burn. Be slow to love, but yet more slow With secret mate; With those whose hearts we do not know, Love turns to hate.King. Why do you trust this girl, and accuse me of an imaginary crime? Sharngarava (disdainfully). You have learned your wisdom upside down. It would be monstrous to believe A girl who never lies; Trust those who study to deceive And think it very wise.King. Aha, my candid friend! Suppose I were to admit that I am such a man. What would ha
""Sharngarava. Thus does unbridled levity burn. Be slow to love, but yet more slow With secret mate; With those whose hearts we do not know, Love turns to hate.King. Why do you trust this girl, and accuse me of an imaginary crime? Sharngarava (disdainfully). You have learned your wisdom upside down. It would be monstrous to believe A girl who never lies; Trust those who study to deceive And think it very wise.King. Aha, my candid friend! Suppose I were to admit that I am such a man. What would happen if I deceived the girl?Sharngarava. Ruin.King. It is unthinkable that ruin should fall on Puru’s line.Sharngarava. Why bandy words? We have fulfilled our Father’s bidding. We are ready to return. Leave her or take her, as you will; She is your wife; Husbands have power for good or ill O’er woman’s life.Gautami, lead the way. (They start to go.)Shakuntala. He has deceived me shamelessly. And will you leave me too? (She starts to follow.)Gautami (turns around and sees her). Sharngarava, my son, Shakuntala is following us, lamenting piteously. What can the poor child do with a husband base enough to reject her?Sharngarava (turns angrily). You self-willed girl! Do you dare show independence? (SHAKUNTALA shrinks in fear.) Listen. If you deserve such scorn and blame, What will your father with your shame?  But if you know your vows are pure, Obey your husband and endure.Remain. We must go.King. Hermit, why deceive this woman? Remember:  Night-blossoms open to the moon, Day-blossoms to the sun; A man of honour ever strives Another’s wife to shun.Sharngarava. O King, suppose you had forgotten your former actions in the midst of distractions. Should you now desert your wife—­you who fear to fail in virtue?King. I ask you which is the heavier sin:  Not knowing whether I be mad Or falsehood be in her, Shall I desert a faithful wife Or turn adulterer?Chaplain (considering). Now if this were done——­King. Instruct me, my teacher.Chaplain. Let the woman remain in my house until her child is born.King. Why this?Chaplain. The chief astrologers have told you that your first child was destined to be an emperor. If the son of the hermit’s daughter is born with the imperial birthmarks, then welcome her and introduce her into the palace. Otherwise, she must return to her father.King. It is good advice, my teacher.""
...more"
49,"Kind of having trouble deciding how I feel about this play. I'm torn between wanting to look at it from my usual plot/character/enjoyment standpoint and wanting to approach it from a more, uh, I guess literary? point. I definitely enjoyed it, as I accidentally finished it in one sitting, but the plot and characters are just kind of...eh. On the other hand, I want to take a step back and look at it through the lens of history, and take the time to consider the caste system and the intentions of p
Kind of having trouble deciding how I feel about this play. I'm torn between wanting to look at it from my usual plot/character/enjoyment standpoint and wanting to approach it from a more, uh, I guess literary? point. I definitely enjoyed it, as I accidentally finished it in one sitting, but the plot and characters are just kind of...eh. On the other hand, I want to take a step back and look at it through the lens of history, and take the time to consider the caste system and the intentions of plays as described in the introduction. So. Dilemma.In the end, I'm just stuck giving this four stars. Why? Because compromise.From my normal standpoint: 3 stars. I enjoyed this thoroughly, and some of the language was eminently beautiful (and ridiculously quotable), but the characters are 2D at best and the plot is both trite and predictable. It's a cute enough story and good entertainment, but it doesn't hold my kind of depth.From a more literary standpoint: 4.5-5 stars. Khalidasa, you have succeeded in your intentions (she says to the realllyyyy dead guy). If the wording and imagery in this play are beautiful in English, I can only imagine what they're like in their original Sanskrit and Pankrit. Imagining the performances that would go along with the dialogue is at turns breathtaking and hilarious, and I think that, if there was an opportunity to see this play as it was meant to be done, I would not be disappointed.And there you have it. Now I'm going to sleep so I don't pass out in biostats tomorrow.
...more"
50,"Sakuntala is a huge cultural influence of India written by Kalidasa. This work's brilliance lies in the small poems that the characters use as a means of expressing themselves, or any critical viewpoint of the story (or just for descriptive purposes). Sakuntala, for me, was worth reading only because of the well-translated poems of Kalidasa's thinking. The entire play is about being joined, then separated, and then again joined. That's simple enough. But the philosophy behind it is: it is like t
Sakuntala is a huge cultural influence of India written by Kalidasa. This work's brilliance lies in the small poems that the characters use as a means of expressing themselves, or any critical viewpoint of the story (or just for descriptive purposes). Sakuntala, for me, was worth reading only because of the well-translated poems of Kalidasa's thinking. The entire play is about being joined, then separated, and then again joined. That's simple enough. But the philosophy behind it is: it is like that in everyday life. I will not explain what I am saying, for Kalidasa does it well enough.The plot and the characters were okay. King Dusyanta (the protagonist) was removed of any unethical actions caused by himself and himself only (unlike in the Mahabharta, from which the play was inspired.) This made the characters a bit 2-D, having them be 'the most ethical king!' and 'the most innocent girl!' Kalidasa also uses nature as a huge literary agent to help him in his metaphors and thoughts. The use of nature is widely prevalent in Indian Literature. All in all, it was an enjoyable read. And could be reread, focusing on the poems more than the actual plot and characters because they don't really deserve a second read.
...more"
51,"This is a fairy tale story of love found, lost and re-found (or found, forgotten and remembered), complete with nymphs, magic bracelets, curses and demons. I won’t claim to understand the social and religious structure of this fantastical world, but it creates a delightful setting for an entertaining play. This is a bit different, though, from what we (Westerners) may understand as drama. Although the plot is rather simple, it unfolds rather slowly.) There are many songs and speeches that I’m su
This is a fairy tale story of love found, lost and re-found (or found, forgotten and remembered), complete with nymphs, magic bracelets, curses and demons. I won’t claim to understand the social and religious structure of this fantastical world, but it creates a delightful setting for an entertaining play. This is a bit different, though, from what we (Westerners) may understand as drama. Although the plot is rather simple, it unfolds rather slowly.) There are many songs and speeches that I’m sure are beautiful in performance, but only add tangentially to the main story. And despite the characters being a bit flat and stiff, we have empathy for them. Since I don’t know the cosmology of this world, there may be deeper meanings and themes in this play, but I didn’t see them. It seems that the primary goal of the play to entertain with story, dance and song, and in that it succeeded. This isn’t for the average reader. However, if you enjoy non-Western forms of drama and/or magical stories of love told in exotic settings, you will probably enjoy this
...more"
52,"This play was written in Sanskrit in northern India in the fourth or firth century CE. Sanskrit has a rich dramatic tradition dating back to the fourth Century BCE and this play is generally considered the greatest example. It is a Romance, where the king and the adopted daughter of a forest ascetic fall in love, and after some vicissitudes, live happily ever after. The purpose of Sanskrit literature is (on the level of glib generalization) to evoke one of a list of moods (the razas) in an educa
This play was written in Sanskrit in northern India in the fourth or firth century CE. Sanskrit has a rich dramatic tradition dating back to the fourth Century BCE and this play is generally considered the greatest example. It is a Romance, where the king and the adopted daughter of a forest ascetic fall in love, and after some vicissitudes, live happily ever after. The purpose of Sanskrit literature is (on the level of glib generalization) to evoke one of a list of moods (the razas) in an educated audience, unlike, say the purpose of delighting a teaching typical of Western European literature. This play drips with romantic eroticism. The language of this translation is simple, direct, and often elegant. It’s a lovely and satisfying work.
...more"
53,"The book vividly depicts the relationships between the couple—king Dushyanta has the power of initiative in the relationships, while heroine Sakuntala is desirable owing to her beauty. The girl lives in an ascetic hermitage, and she falls in love with the King, the curse causes the King forget his secret marriage with the Sakuntala. Fortunately, the signet ring reminds him of the past and the couple reunion in the end. I find it surprising how dramatic the story is, for example, Sakuntala is the
The book vividly depicts the relationships between the couple—king Dushyanta has the power of initiative in the relationships, while heroine Sakuntala is desirable owing to her beauty. The girl lives in an ascetic hermitage, and she falls in love with the King, the curse causes the King forget his secret marriage with the Sakuntala. Fortunately, the signet ring reminds him of the past and the couple reunion in the end. I find it surprising how dramatic the story is, for example, Sakuntala is the daughter of a nymph but is abandoned; the king’s ring is found in a fish’s belly. I really like the abundant poetic dialogues and interpolations in the Recognition of Sakuntala. 
...more"
54,"I read this play in college in a History of Theatre class, and recently decided to reread it. A king falls in love with a maiden in a hermitage, marries her, gets her pregnant, leaves, and then is cursed to forget about her. The imagery in this play is beautiful. Kalidasa is widely regarded as one of the greatest poets in India, and it shows. I love the way he uses nature to invoke feeling in his audience. It is unfortunate that many people in the West are unfamiliar with his work. It is also in
I read this play in college in a History of Theatre class, and recently decided to reread it. A king falls in love with a maiden in a hermitage, marries her, gets her pregnant, leaves, and then is cursed to forget about her. The imagery in this play is beautiful. Kalidasa is widely regarded as one of the greatest poets in India, and it shows. I love the way he uses nature to invoke feeling in his audience. It is unfortunate that many people in the West are unfamiliar with his work. It is also interesting to see the influences this play had on Bollywood films. I would love to see a live production one day.
...more"
55,"Not really sure what the point of this play is. Doesn't seem like any character is at actual fault, and there is certainly no ""recognition"" that occurs.Two dopey in love who are mildly kept a part from each other for a short while because of some completely undefined, and poorly deviced, magical spell (?) that occurs off-screen and has no context to why it is there.A lousy play that is an established classic for the sole sake of its age. In my opinion, throwing this thing in the bin is past due.
Not really sure what the point of this play is. Doesn't seem like any character is at actual fault, and there is certainly no ""recognition"" that occurs.Two dopey in love who are mildly kept a part from each other for a short while because of some completely undefined, and poorly deviced, magical spell (?) that occurs off-screen and has no context to why it is there.A lousy play that is an established classic for the sole sake of its age. In my opinion, throwing this thing in the bin is past due.
...more"
56,"A very nice read! Kalidasa's play does quite give justice to Shakuntala, whose story seems short and in need of necessary details. The notes in this edition (as well as Shakuntala's story in the Mahabharata) were very, very helpful in understanding the story better, too.Oct. 9, 2010:I can already tell I'm in for a good read, with just a few pages in. The words are so lovely, and the story so simply romantic. Can't wait to read more :D
A very nice read! Kalidasa's play does quite give justice to Shakuntala, whose story seems short and in need of necessary details. The notes in this edition (as well as Shakuntala's story in the Mahabharata) were very, very helpful in understanding the story better, too.Oct. 9, 2010:I can already tell I'm in for a good read, with just a few pages in. The words are so lovely, and the story so simply romantic. Can't wait to read more :D
...more"
57,"The play Sakoontala is charming, sweet, and romantic much like Romeo and Juliet. Sakoontala endures much for her husband, but I feel the play develops her character and that of the others well. I think the scene between the king and his son rings true as they interact as you would expect a father and son to. The only criticism is the curse involved in the play. It seems arbitrary and forced as a plot device."
58,"I'm giving this 4 stars instead of 5 more as a punishment to myself than to the work, which is apparently, in terms of cultural relevance, etc, the greatest work of Sanskrit literature. Unfortunately, despite a brief stint living in India I have neither the literary background nor the cultural upbringing to truly appreciate it. It's wonderful, extremely beautiful and exquisitely structured, and I'd love to see it performed someday.
I'm giving this 4 stars instead of 5 more as a punishment to myself than to the work, which is apparently, in terms of cultural relevance, etc, the greatest work of Sanskrit literature. Unfortunately, despite a brief stint living in India I have neither the literary background nor the cultural upbringing to truly appreciate it. It's wonderful, extremely beautiful and exquisitely structured, and I'd love to see it performed someday.
...more"
59,"Kalidasa is India's greatest Sanskrit poet and playwright. This work, unlike other, literary classics, is light, very approachable and readable, as if it was written for modern times.It is very ahead compared to other works of its time, that is why, up to this date, It is still considered as the greatest, and I don't think it's going to change anytime soonKalidasa's author voice is amazing, writing in great humor. Reading Kalidasa's work is a wonderful engaging experience for me.
Kalidasa is India's greatest Sanskrit poet and playwright. This work, unlike other, literary classics, is light, very approachable and readable, as if it was written for modern times.It is very ahead compared to other works of its time, that is why, up to this date, It is still considered as the greatest, and I don't think it's going to change anytime soonKalidasa's author voice is amazing, writing in great humor. Reading Kalidasa's work is a wonderful engaging experience for me.
...more"
60,"An epic story. No wonder it was written (or narrated) by Kalidas in the fifth century and had been passed on generation after generation till it was finally written and then translated in English. Very curious to read the original one though.Equally powerful is the foreword written by Rabindranath Tagore. Haven't read such a strongly captivating story till date, dipped in innocence and draped in love. Surely a bucket list worthy book.
An epic story. No wonder it was written (or narrated) by Kalidas in the fifth century and had been passed on generation after generation till it was finally written and then translated in English. Very curious to read the original one though.Equally powerful is the foreword written by Rabindranath Tagore. Haven't read such a strongly captivating story till date, dipped in innocence and draped in love. Surely a bucket list worthy book.
...more"
61,"Not particularly exciting, but Kalidasa is superb at manipulating emotions....I laughed so hard at some of the opinions expressed by his characters. Especially the ""He's handsome, so he's gotta be nice!"" train of thought. 
Not particularly exciting, but Kalidasa is superb at manipulating emotions....I laughed so hard at some of the opinions expressed by his characters. Especially the ""He's handsome, so he's gotta be nice!"" train of thought. 
...more"
62,"Read this for my Global Lit. class and I really enjoyed it. I was not looking forward to reading this at first but once I got used to the writing I really liked it. Great story, a bit overdramatic (but that's pretty much how every text during this time was) and sentimental. 
Read this for my Global Lit. class and I really enjoyed it. I was not looking forward to reading this at first but once I got used to the writing I really liked it. Great story, a bit overdramatic (but that's pretty much how every text during this time was) and sentimental. 
...more"
63,I read the translated one by Arthur Dyer. It was very Impactful. I love the description of Shakuntala...The paragraph where he described about her beauty was entrenched deep into my mind. I really loved it....I am very anticipated to read original text of Kalidasa...
64,"A cute story of miscommunication and mistaken identity, thematically similar enough to Western tropes that I think it remains accessible to Western audiences despite the wide generational and cultural gaps."
65,"simple story, deep thoughts."
66,"Not that impressed but I guess I did somewhat enjoy reading it, though twas a trifle predictable."
67,"it's a beautiful story that's simple and has equally as beautiful writing there are some quotes in it that are among my favorite ever
it's a beautiful story that's simple and has equally as beautiful writing there are some quotes in it that are among my favorite ever
...more"
68,The style reminds me a lot of Song of Solomon from the Bible; it deals with a lot of poetry. Beautifully written.
69,"The beauty beautified at its best. Austere woman may not have been ascribed so opulently in comparison to the nature anywhere else. Truly, a chef-d'oeuvre of simile. 
The beauty beautified at its best. Austere woman may not have been ascribed so opulently in comparison to the nature anywhere else. Truly, a chef-d'oeuvre of simile. 
...more"
70,2010 ENGLISH
71,A more interesting version of Romeo & Juliet
72,4 stars for the time at which this work was done and you enjoy it best in the original language...
73,"A beautiful play, much more pleasing than the story in the Mahābhārata. It is also interesting to see a king who is actually a kind, humble man."
74,Definitely a classic.
75,"Myth, love, gods and emotions woven together in great poetry by the Indian bard."
76,"Written in 400 A.D., this drama is an absolutely lovely combination of prose and poetry, humans and gods, and spirituality and sensuality. It really is all about love, is it not? Such a pleasure!"
77,It was very melodramatic. It was like reading an ancient transcript of Bollywood!
78,The Recognition of Śakuntalā. #Kālidāsa An interpretation of the Shakuntala myth reflects the values of Classical #India. #gender & #casteReviewed @reallyReads
79,"Some really extraordinary poetry and a quite fascinating act structure. The introduction was fantastic, and really helped me to understand how to go about reading my first ever Sanskrit play."
80,Keenly waiting for the bollywood version with SRK-- we all know its coming.
81,c. 400
82,"Intriguing. A bit alien. That's good, BTW.
Intriguing. A bit alien. That's good, BTW.
...more"
83,fdgf
84,"A classic, obviously, and a special-interest read. I was interested and I read."
85,"I remember reading this way back in 2014 during my tradition in playwriting class. That class was quite early in the morning, everyone's heads were still sluggish with lack of sleep but I clearly remember being fascinated with the story itself. A lot of stuff didn't make sense to me - the decisions made by the characters, etc - but it was pretty good.
I remember reading this way back in 2014 during my tradition in playwriting class. That class was quite early in the morning, everyone's heads were still sluggish with lack of sleep but I clearly remember being fascinated with the story itself. A lot of stuff didn't make sense to me - the decisions made by the characters, etc - but it was pretty good.
...more"
86,"This is an historically significant little book, but I certainly wouldn't read it for fun. 
This is an historically significant little book, but I certainly wouldn't read it for fun. 
...more"
87,Its a good read. Its more of a short skit or a short story. Although Johnson has translated very vividly but some portions feel a little bit bland. Was good for company during a boring flight.
88,"The Recognition of Sakuntala, by Kalidasa, is a resplendent tale of love, loss, confusion, and reunion. The imagery and figurative language are palpable. I'd love to see this play performed. The included verse version of Sakuntala helpfully enlarges the world. Here's one of my favorite passages from the play. The king is speaking to Sakuntala, ""Limbs cushioned on flowers --Bruised lotuses, fragrantBut listless with pain --Should conserve their powers,And treat stale custom with proper disdain.""
The Recognition of Sakuntala, by Kalidasa, is a resplendent tale of love, loss, confusion, and reunion. The imagery and figurative language are palpable. I'd love to see this play performed. The included verse version of Sakuntala helpfully enlarges the world. Here's one of my favorite passages from the play. The king is speaking to Sakuntala, ""Limbs cushioned on flowers --Bruised lotuses, fragrantBut listless with pain --Should conserve their powers,And treat stale custom with proper disdain.""
...more"
89,Happy
90,Amazing book no doubt. one must read it.
